               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12078,            0.078661,            0.047783,           0.0017387,            0.023158,          0.00090139,          0.00020449,             0.12308,            0.063425,              0.0476,              0.0002,              0.0002,              0.0982
                   1,             0.11856,            0.079017,            0.047336,            0.003961,            0.037047,           0.0012218,           0.0002367,             0.11903,            0.066703,            0.046819,          0.00049505,          0.00049505,            0.095495
                   2,             0.11409,            0.082758,            0.046163,             0.28517,               0.005,           0.0024906,           0.0005289,             0.11157,            0.073065,            0.045466,          0.00078416,          0.00078416,            0.092784
                   3,             0.10717,            0.091284,            0.044631,           0.0085795,            0.054474,           0.0039902,          0.00083763,            0.099509,            0.083342,            0.043675,           0.0010673,           0.0010673,            0.090067
                   4,             0.10067,            0.091663,            0.042587,           0.0090073,            0.085915,           0.0063196,            0.001221,            0.088662,            0.093503,            0.041517,           0.0013446,           0.0013446,            0.087345
                   5,            0.097777,             0.11098,            0.041347,            0.027685,            0.082251,            0.013389,           0.0029692,            0.083739,            0.096745,            0.038891,           0.0016158,           0.0016158,            0.084616
                   6,            0.094454,             0.10276,               0.039,            0.019972,            0.037047,            0.008025,            0.001912,            0.081644,            0.097131,            0.036219,           0.0018812,           0.0018812,            0.081881
                   7,            0.090718,            0.099035,            0.037706,            0.018417,              0.1252,            0.013809,           0.0033002,            0.079771,            0.097476,            0.033721,           0.0021406,           0.0021406,            0.079141
                   8,            0.088375,             0.10689,            0.035502,            0.023465,             0.32289,            0.016016,           0.0027253,            0.080689,            0.098285,            0.032031,           0.0023941,           0.0023941,            0.076394
                   9,            0.087446,             0.10978,            0.034238,            0.092904,             0.20725,            0.035576,           0.0094893,            0.080906,             0.10154,            0.030813,           0.0026416,           0.0026416,            0.073642
                  10,            0.084423,             0.11519,            0.033017,            0.025611,             0.22594,            0.022186,           0.0083452,            0.080446,             0.10921,            0.030329,           0.0028832,           0.0028832,            0.070883
                  11,            0.082249,             0.10783,            0.031314,             0.61811,             0.21763,            0.076342,            0.017424,            0.075296,             0.10607,            0.028155,           0.0031189,           0.0031189,            0.068119
                  12,            0.079987,             0.10215,            0.030292,            0.077099,             0.30526,            0.073351,            0.015614,            0.072615,              0.1012,              0.0261,           0.0033486,           0.0033486,            0.065349
                  13,            0.078299,             0.11265,            0.028975,              0.1411,             0.32299,             0.16089,             0.02887,            0.071672,             0.10199,            0.024694,           0.0035723,           0.0035723,            0.062572
                  14,            0.075565,             0.10549,            0.026846,             0.11153,              0.4198,             0.12799,            0.024653,              0.0704,              0.1013,            0.022429,           0.0037902,           0.0037902,             0.05979
                  15,            0.074759,            0.096215,            0.023949,             0.19247,             0.38258,             0.17081,            0.027063,            0.071249,             0.09569,            0.019279,           0.0040021,           0.0040021,            0.057002
                  16,            0.074014,             0.11333,             0.02205,              0.1644,             0.39488,             0.18603,            0.028953,            0.070695,            0.097494,            0.017967,            0.004208,            0.004208,            0.054208
                  17,             0.07566,             0.11222,            0.020545,             0.74379,              0.1582,             0.16679,            0.028934,            0.080051,            0.091939,            0.015446,            0.004408,            0.004408,            0.051408
                  18,             0.08144,            0.096302,             0.01886,             0.11266,             0.49294,             0.13598,            0.025496,            0.076486,            0.082084,            0.013819,           0.0046021,           0.0046021,            0.048602
                  19,            0.081951,            0.091575,            0.017823,             0.11255,             0.47935,             0.13312,            0.028737,            0.087567,            0.070351,            0.012589,           0.0047902,           0.0047902,             0.04579
                  20,            0.088651,            0.087521,            0.015749,             0.14528,             0.48529,             0.14624,            0.036723,            0.077432,             0.08055,            0.012057,           0.0049724,           0.0049724,            0.042972
                  21,            0.084058,            0.093174,             0.01482,             0.14211,             0.53749,             0.19536,            0.035882,            0.081693,            0.082131,            0.010069,           0.0051487,           0.0051487,            0.040149
                  22,            0.082918,            0.080103,               0.013,             0.12456,             0.44524,             0.16064,            0.036258,            0.081182,            0.082074,           0.0087795,            0.005319,            0.005319,            0.037319
                  23,            0.082932,            0.091716,            0.012114,            0.078966,             0.61814,            0.074645,            0.013145,            0.089499,            0.079976,           0.0071991,           0.0054833,           0.0054833,            0.034483
                  24,            0.090157,            0.083572,           0.0099722,             0.13703,             0.42837,              0.1292,            0.029334,            0.083642,            0.073179,           0.0063972,           0.0056418,           0.0056418,            0.031642
                  25,            0.080788,            0.095562,           0.0099194,            0.067424,             0.56208,            0.083048,            0.017052,            0.087384,            0.087042,           0.0056209,           0.0057942,           0.0057942,            0.028794
                  26,            0.087413,            0.085937,           0.0087953,             0.22011,             0.50464,             0.25369,            0.056556,            0.081772,            0.076439,           0.0047752,           0.0059408,           0.0059408,            0.025941
                  27,            0.080839,            0.088051,           0.0083012,             0.46432,             0.32539,             0.27897,             0.06908,            0.074746,            0.086791,           0.0040556,           0.0060814,           0.0060814,            0.023081
                  28,            0.080926,            0.081246,           0.0074842,             0.23891,             0.42088,             0.19488,            0.052664,            0.079711,             0.09448,           0.0036225,           0.0062161,           0.0062161,            0.020216
                  29,            0.083202,            0.092575,           0.0070507,              0.2458,             0.55552,             0.30121,             0.06957,            0.079145,            0.092102,           0.0030057,           0.0063448,           0.0063448,            0.017345
                  30,             0.08349,            0.083982,           0.0064825,             0.25215,             0.54316,             0.27288,            0.070657,            0.081338,            0.082082,            0.002825,           0.0064676,           0.0064676,            0.014468
                  31,            0.077967,            0.079276,           0.0060465,             0.24935,             0.59801,             0.27151,            0.055291,            0.073883,            0.083576,            0.002498,           0.0065844,           0.0065844,            0.011584
                  32,            0.077583,            0.091797,           0.0057252,             0.15927,             0.42526,             0.15821,            0.030883,            0.080543,             0.09169,           0.0022549,           0.0066954,           0.0066954,           0.0086954
                  33,            0.073924,            0.083205,           0.0055791,             0.27429,             0.48882,             0.27817,            0.064592,            0.078597,            0.087096,           0.0021055,            0.006733,            0.006733,            0.006733
                  34,            0.078172,            0.084724,           0.0052611,             0.29106,             0.47421,             0.29159,            0.064498,            0.074967,            0.084262,           0.0022659,            0.006733,            0.006733,            0.006733
                  35,            0.075376,            0.092972,           0.0055858,             0.26648,             0.39893,             0.23122,            0.063904,            0.075936,            0.089904,           0.0024771,            0.006634,            0.006634,            0.006634
                  36,            0.076117,            0.092434,           0.0058394,             0.27738,             0.55605,             0.30969,            0.077767,             0.07059,            0.094727,           0.0023066,            0.006535,            0.006535,            0.006535
                  37,            0.072067,             0.08446,           0.0056396,             0.26084,             0.49615,             0.30279,            0.071588,            0.071675,            0.082892,            0.002324,            0.006436,            0.006436,            0.006436
                  38,            0.074252,            0.080697,           0.0054392,             0.19132,             0.43137,             0.19892,             0.04643,            0.079304,            0.074333,           0.0023166,            0.006337,            0.006337,            0.006337
                  39,            0.076176,            0.084573,           0.0050148,              0.2915,             0.65061,             0.45505,             0.12938,            0.069689,            0.078928,           0.0019385,            0.006238,            0.006238,            0.006238
                  40,            0.070938,            0.086809,           0.0044728,              0.2391,             0.67223,             0.31885,            0.075323,            0.070794,            0.080389,           0.0018495,            0.006139,            0.006139,            0.006139
                  41,             0.06578,            0.082973,           0.0048196,             0.44215,             0.51915,             0.50808,             0.12821,            0.064214,            0.084392,           0.0016511,             0.00604,             0.00604,             0.00604
                  42,            0.065874,            0.093299,           0.0044858,             0.35298,             0.69211,             0.49588,             0.14737,            0.063194,            0.084118,            0.001535,            0.005941,            0.005941,            0.005941
                  43,            0.063236,            0.088089,           0.0038081,             0.32893,             0.68839,             0.48446,             0.12017,            0.063448,            0.084644,           0.0014939,            0.005842,            0.005842,            0.005842
                  44,            0.064503,            0.081296,            0.003675,             0.30431,             0.63012,             0.40517,             0.10756,            0.065366,            0.080486,           0.0014569,            0.005743,            0.005743,            0.005743
                  45,            0.063238,            0.094171,           0.0036523,             0.48689,             0.62614,             0.55052,             0.17942,            0.059823,            0.085596,           0.0011702,            0.005644,            0.005644,            0.005644
